		
math	function	"any implementation of a mathematical function (not strictly limited to python functions that are implemented using ""def"")"
	set	any implementation of a mathematical set (not strictly limited to python `set`)
	operation	as per Stepanov (2009), any function that maps to and from objects of the same type
	element	any nonset that is used to construct a mathematical set
	member	any element or set that is contained within a mathematical set
		
python	string	a python string
	dict/dictionary	a python dictionary
	list	a python list
	class	a python class
	object	an instance of a python class
		
theory of computation	context-free grammar	a context-free grammar as understood in the theory of computation
	rule	a representation of a rule in a context-free grammar
		
linguistics	text	a string comprised of natural language
	token	a string composed entirely of nonwhitespace characters
	facet	an indivisible unit of articulation that can be combined with others to create a phone, such as voicing, manner of articulation, etc.
	phone	"an indivisible unit of sound capable creating distinction in meaning in any attested natural language. it is a product of ""features"": manner, place, voicing, etc."
	morph	an indivisible unit of sound capable of conveying meaning in any attested natural language. it is a product of phonemes.
	seme	an indivisible unit of meaning that fully describes the meaning of any morpheme in any attested natural language. it is a product of episemes.
	tag	an indivisible unit of distinction between any set of morphemes or their arrangement in any attested natural language.
	episeme	an indivisible unit of meaning that is mutually exclusive to other members in a episemaxis
	term	any indivisible unit that is associated with a predefined token, such as a phone, morph, seme, tag, etc.
		
	-eme	an indivisible unit within the context of a specific language, such as a phoneme, morpheme, etc.
	-axis	a set of sets that each contain terms
	-space	a cartesian product of axes
	-mask	a subset of a space
	-point	a member of a space
	-path	a sequence of points within a space
	-field	an operation between spaces
		
implementations	-store	a representation of a collection of any kind in memory, including spaces, masks, paths, sets, fields, etc.
	-series	any store that allows traversal but forbids tests of membership in the interest of performance
	-set	any store that forbids traversal but allows tests of membership
	-lookup	any store that represents a function
	-tree	a store of nested series
	-node	a member of a tree
		
	-whitelist	a mask that specifies elements that are included in a store
	-blacklist	a mask that specifies elements that are excluded in a store
	-traversal	a path that specifies the order in which inflections are to be demonstrated
		
	indexing	a technique for representing and iterating through dictionaries, typically in a dictset or dictspace
	annotation	a technique for interpreting cells within a table as dictionaries
	evaluation	a technique for interpreting annotations as the contents of stores
	population	a technique for creating new stores given annotations an evaluations
		
	listtree	a tree where nodes are lists or strings
	ruletree	a tree where nodes are rules
	syntax tree	a listtree that represents meaning in a language agnostic fashion that's standardized across this body of work
		
	nodemap	a function that, when given a context, maps between nodes of a tree
	treemap	an operation that acts on trees
		
	semantics	a language-specific nodemap that applies fields mapping episememepoints to tagmemes, representing definitions for things like case or mood in the language
	grammar	a language-specific nodemap of lists that applies fields mapping tagmemepoints to text, representing inflection in the language
	syntax	a language-specific operation that acts on ruletrees, representing things like sentence structure or noun phrase ordering in a language
		
	script	a set of characters
	language	a function that, when given a script, maps a syntax tree to text
	orthography	a tuple of language and script
	demonstration	the representation of a seme in a given orthography
		
anki	card	an Anki card, which consists of a series of demonstrations that each represent the same seme
	deck	an Anki deck, which consists of cards that demonstrate the same type of inflection, such as verb conjugation, noun declension, etc.
